country,city,city_en,peopleNum,hotSpot,cityDetail,imgUrl
法国,阿尔勒,arles,7436人去过,阿尔勒竞技场|梵高咖啡馆|阿尔勒古罗马剧场|梵高疗养院|向日葵花田|阿尔勒圣托菲姆堂|梵高的吊桥|共和广场|圣托菲姆回廊|康斯坦丁公共浴场遗址|阿尔勒梵高艺术中心|圣托菲姆教堂|阿尔勒向日葵田|卡马格湿地公园|梵高的踪迹|顶奎特尔桥的台阶|梵高的黄房子|Musée Réattu博物馆|Les Alyscamps墓地|古阿尔勒博物馆,//place.qyer.com/arles/,https://pic.qyer.com/album/19d/f8/1995431/index/cover
法国,埃兹,éze,7076人去过,山顶植物园|尼采之路|埃兹圣母升天教堂|大檐口|金羊酒店|花宫娜香水工厂|Château Eza|巴尔桑城堡|Mets Vins Chics|Chateau de la Chevre D'Or|Cap Estel|La Vieille Maison,//place.qyer.com/eze/,https://pic.qyer.com/album/user/314/74/QkhRRR4OaQ/index/cover
法国,波尔多,bordeaux,6578人去过,波尔多交易所广场|吉伦特派纪念碑|圣安德烈大主教教堂|波尔多大剧院|波尔多大钟门|St-Emilion酒庄一日游|佩贝朗塔|康孔斯广场|圣凯瑟琳大街|波尔多圣心天主教堂|Public Garden|阿基坦地方博物馆|波尔多圣让火车站|圣瑟兰大教堂|圣卡特莲娜路|波尔多有轨电车|波尔多雅克·沙邦-戴尔马大桥|葡萄酒之城|L'Entrecôte Bordeaux|加连宫,//place.qyer.com/bordeaux/,https://pic.qyer.com/album/user/652/14/R0xXQx4BZA/index/cover
法国,圣米歇尔山,mont-saint-michel,6500人去过,圣米歇尔修道院|Mont-Saint-Michel and its Bay|蓬托尔松圣母院|Tour du Nord|圣米歇尔山博物馆|布拉德梅尔酒店|库埃农河水坝|圣米歇尔山火车站|La Sirene|La Gourmandise|La Promenade|La Ferme Saint Michel|Brasserie de la Baie|Auberge de la Baie|le pre sale|Boutique la Mère Poulard,//place.qyer.com/mont-saint-michel/,https://pic.qyer.com/album/user/417/67/RUhSRB0OaQ/index/cover
法国,第戎,dijon,5513人去过,自由广场|勃艮第公爵宫|第戎圣母院|圣米歇尔教堂|猫头鹰街|佛朗索瓦鲁德广场|吉约姆门|达尔西花园|第戎美术馆|圣贝尼涅大教堂|琥珀|好人菲利普塔|吕德博物馆|考古博物馆|Abbaye Notre-Dame de Cîteaux|勃艮第生活博物馆|武戎园城堡|Hôtel de Vogué|le bouchon du palais|米列埃尔之家,//place.qyer.com/dijon/,https://pic.qyer.com/album/18e/b1/2019600/index/cover
法国,普罗旺斯地区艾克斯,aix-en-provence,5505人去过,Mirabeau林荫道|Roi René喷泉|圣索沃尔大教堂|圆亭喷泉|塞尚故居|马里恩广场|圣维克多山|Musée Granet博物馆|旺多姆楼|阿尔贝塔斯广场|艾克斯火车站|比贝米采石场|圣让·马特修道院|Musée Paul Arbaud博物馆|布方羊圈农舍|加利菲艺术中心|Marche aux Fruits et Legumes|农贸市场|科蒙艺术中心|Grape Escapes Provence,//place.qyer.com/aix-en-provence/,https://pic.qyer.com/album/user/423/88/RUtWShIFYg/index/cover
法国,红土城,roussillon,4851人去过,红土城小镇|褚石步道|街头樱桃小贩,//place.qyer.com/roussillon/,https://pic.qyer.com/album/user/304/92/QklRSxgOZg/index/cover
法国,科尔马,colmar,4104人去过,科尔马老城区|科尔马小威尼斯|科尔马圣马丁教堂|钥匙街|科尔马渔市码头|老海关大楼|制革街|科尔马圣马太教堂|科尔马圣多明戈教堂|普菲特之屋|巴托尔迪博物馆|科尔马玩具博物馆|安特林登博物馆|阿道尔夫屋|自由女神像|菩提树下博物馆|施文迪喷泉|头像雕塑屋|科尔马市场|撒尿童子,//place.qyer.com/colmar/,https://pic.qyer.com/album/user/210/36/Q0hVQRwFZg/index/cover
法国,图卢兹,toulouse,3848人去过,图卢兹市政厅广场|圣塞宁教堂|图卢兹新桥|图卢兹加农河|Airbus组装厂|奥古斯汀博物馆|图卢兹市政厅|图卢兹南运河|图卢兹水塔|雅各宾修道院|图卢兹主教座堂|图卢兹太空城|图卢兹布拉尼亚克国际机场|图卢兹当代艺术博物馆|L'Entrecôte Toulouse|圣雷蒙德博物馆|图卢兹博物馆|La Bazacle纪念馆|贝姆伯格基金会博物馆|米亚火锅,//place.qyer.com/toulouse/,https://pic.qyer.com/album/user/214/37/Q0hRQR0AYA/index/cover
法国,尼姆,nimes,3740人去过,尼姆竞技场|加尔桥|卡利神殿|喷泉花园|马涅塔楼|Nîmes Cathedral|艺术广场|普拉迪耶喷泉|戴安娜神庙|考古学与自然历史博物馆|尼姆老博物馆|尼姆美术馆|Place Rossetti|PAUl|Restaurant Croizard|La Buena Onda|尼姆火车站|Le Nocturne|L' Ancien Theatre|Skab,//place.qyer.com/nimes/,https://pic.qyer.com/album/1db/d1/1895150/index/cover
法国,舍农索,chenonceaux,3489人去过,舍农索城堡|La Bélandre|玫瑰园酒店,//place.qyer.com/chenonceaux/,https://pic.qyer.com/album/user/414/54/RUhRRx4AaQ/index/cover
法国,泉水城,fontaine-de-vaucluse,3444人去过,造纸坊|泉水城旅游局|La Figuiere,//place.qyer.com/fontaine-de-vaucluse/,https://pic.qyer.com/album/user/425/34/RUtQQR4DaQ/index/cover
法国,里尔,lille,3417人去过,里尔老城|里尔大教堂|戴高乐广场|里尔美术馆|里尔老证券交易所|Citadelle de Lille|La Piscine Musée d'Art et d'Industrie|里尔现代艺术博物馆|里乌尔宫|里尔动物园|戴高乐故居|圣莫里斯教堂|里尔欧洲火车站|Meert甜品店|里尔弗朗德火车站|卡福鲁瓦别墅|里尔伯爵夫人济贫院博物馆|大河堤街|北方的白釉|里尔市政厅钟楼,//place.qyer.com/lille/,https://pic.qyer.com/album/154/29/2000962/index/cover
法国,图尔,tours,3352人去过,图尔主座教堂|图尔市政厅|图尔火车站|图尔美术馆|图尔步行街|圣朱利安教堂|Place Jean Jaurès|图尔植物园|高速列车TGV车站|圣朱利安教堂博物馆|手工艺博物馆|图尔城堡|La Roche Le Roy|Le Saint Honoré|圣马丁大教堂|古安大楼|图尔机场|La Table du Grand Marché|胜利广场|Le Zinc,//place.qyer.com/tours/,https://pic.qyer.com/album/189/c5/963669/index/cover
法国,格拉斯,grasse,3187人去过,国际香水博物馆|花宫娜香水厂|弗拉戈纳尔美术馆|普罗旺斯艺术历史博物馆|昂特沃|加里玛香水厂|格拉斯香水专科学校|阿尔卑斯圣昂德雷|莫利纳尔|Manon种植园|唐德|安诺|Les caprices de pauline|Maison Duplanteur|马侬花田,//place.qyer.com/grasse/,https://pic.qyer.com/album/143/ce/1861912/index/cover
法国,布列塔尼,brittany,3104人去过,雷恩老城|圣马洛古城区|圣马洛海滩|圣马洛古城墙|圣文森特大教堂|布列塔尼议会|国家要塞|雷恩市政厅|他泊花园|圣皮埃尔大教堂|佩蒂特要塞|玫瑰海岸|圣马洛历史博物馆|雷恩歌剧院|航海历史博物馆|雷恩美术馆|Conchée要塞|雷恩火车站|文化中心|迪南城堡,//place.qyer.com/brittany/,https://pic.qyer.com/album/user/337/98/QkpSSxIDZA/index/cover
法国,霞慕尼,chamonix,3066人去过,勃朗峰|南针峰|冰川|人工开凿的冰河洞穴|阿尔卑斯山博物馆|Téléphérique du l'Aiguille du Midi|南针峰山顶咖啡|Step Into The Void|勃朗湖|霞慕尼火车站|霞慕尼游乐园|勒布雷旺|雪园|Restaurant la Tablée|Musée des Cristaux|梅尔莱公园|山中木屋|Oui巴士|Restaurant Albert 1er|Satsuki 日式料理,//place.qyer.com/chamonix/,https://pic.qyer.com/album/151/37/1889785/index/cover
法国,依云,évian-les-bains,2951人去过,依云水源|依云矿泉水博物馆|卢米埃尔宫|山腰绿地|卢米埃尔别墅|依云小镇特色市场|依云火车站|依云登山缆车|依云热泉理疗中心|La Puerta Del Sol|Instant Gourmand,//place.qyer.com/evian-les-bains/,https://pic.qyer.com/album/192/6d/1943778/index/cover
法国,蒙彼利埃,montpellier,2807人去过,蒙彼利埃凯旋门|蒙彼利埃老城|戏剧广场|圣皮埃尔大教堂|佩鲁花园|安提戈涅区|塞特|法布尔艺术馆|诺斯特姆海洋水族馆|奥德赛馆|蒙彼利埃火车站|Jardin des Plantes|福楼日阁堡|L'Entrecôte Montpellier|阿特热博物馆|蒙彼利埃租自行车|Grand Cafe Rich|金牌烧烤|葡萄酒及特产展销中心,//place.qyer.com/montpellier/,https://pic.qyer.com/album/user/338/43/QkpdRhkPaA/index/cover
法国,吉维尼,giverny,2607人去过,莫奈花园|印象主义绘画美术馆|莫奈雕像|吉维尼印象派美术馆|圣拉德贡德教堂和莫奈墓地|圣拉德贡德教堂|利梅茨-韦勒兹|鲍迪旅馆旧址|La Capucine Giverny|Le Jardin Des Plumes,//place.qyer.com/giverny/,https://pic.qyer.com/album/user/414/50/RUhRRxoHZg/index/cover
法国,圣马洛,saint-malo,2583人去过,圣马洛古城区|圣马洛海滩|圣马洛古城墙|圣文森特大教堂|国家要塞|佩蒂特要塞|圣马洛历史博物馆|航海历史博物馆|Conchée要塞|皇家之星|大贝岛|圣马洛火车站|Crêperie Le corps de garde|圣马洛水族馆|海盗之家|Restaurant l'atelier|圣马洛巴士站|39/45博物馆|圣马洛港口|海水热疗中心,//place.qyer.com/saint-malo/,https://pic.qyer.com/album/user/440/26/RU1VQBwBZA/index/cover
法国,兰斯,reims,2581人去过,兰斯圣母大教堂|兰斯主教宫|圣雷米教堂|三月之门|Drouet d'Erlon广场|泰廷爵|波默里香槟酒窖|兰斯美术博物馆|老佛爷商场|黑海|凯歌香槟酒窖|圣雷米博物馆|兰斯火车站|宜家餐厅|藤田礼拜堂|Louise|宫殿咖啡|我的家|甜蜜马卡龙|面包糕点房,//place.qyer.com/reims/,https://pic.qyer.com/album/user/1083/96/QEldQRMBaU4/index/cover
法国,雷恩,rennes,2240人去过,雷恩老城|布列塔尼议会|雷恩市政厅|他泊花园|圣皮埃尔大教堂|雷恩歌剧院|雷恩美术馆|雷恩火车站|文化中心|圣安妮广场|雷恩市图书馆|雷恩文化中心|雷恩巴士站|Crêperie La Saint Georges|摩尔德莱兹城门|圣乔治宫|雷恩老佛爷百货|雷恩家乐福超市|雷恩机场|雷恩春天百货,//place.qyer.com/rennes/,https://pic.qyer.com/album/user/487/71/RUFSRRsAZQ/index/cover
法国,布洛瓦,blois,2207人去过,布洛瓦皇家城堡|布洛瓦老城区|布洛瓦圣路易主教座堂|布洛瓦魔术博物馆|布洛瓦火车站|布卢瓦市政厅|主教花园|声光秀|Beauval动物园|Les Banquettes Rouges|布卢瓦自然博物馆|L'Orangerie du Château|布卢瓦宗教艺术博物馆|Le Bistrot du Cuisinier|王室药草花园|布鲁瓦皇家城堡舞蹈演出|香波堡骑术表演|Observation De la Loire|布洛瓦圣尼古拉斯教堂|罗伯特·乌丹魔术之家,//place.qyer.com/blois/,https://pic.qyer.com/album/1e7/4d/2058248/index/cover
