标题,类型,地点,价格,评分,收藏数,地区
【ONE-Home 夏荷】五一广场/地铁口/大床房/解放西/橘子洲,整套1室 · 1床 · 可住3人,五一广场/贺龙,¥288,4.1,36,长沙
【欢悦·季夏】全屋消毒｜五一广场｜国金IFS｜橘子洲｜解放西｜文和友｜茶颜悦色｜120寸投影｜地铁口｜众多打卡地,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥400,5.0,25,长沙
近火车站、五一广场、国金街性价比高连住特价(大学生就业、退伍军人入住特价不含空调),独立一间3室 · 1床 · 可住2~3人,长沙火车站,¥88,4.8,974,长沙
＇优尚.江右春雪＇/市中心高层可看江/双床可睡4人/地铁口50米/五一广场坡子街太平街国金中心橘子洲岳麓山/潮宗商业街区,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥368,5.0,114,长沙
【优雅】大床复式/一号线马厂地铁口/润和国际广场-/龙湾广场/开福区政府/去五一广场/省博物馆/橘子洲头/文和友等方便。,整套1室 · 1床 · 可住2~3人,湘江世纪城,¥298,5.0,16,长沙
近五一广场国金IFS步行街/芙蓉广场韭菜园/网红米粉街对面/地铁迎宾路1号出口,整套1室 · 2床 · 可住2人,五一广场/贺龙,¥135,5.0,78,长沙
＇尚美.西西和嘻嘻＇/2床可睡4人/地铁口/市中心五一广场坡子街太平街解放西国金中心/桔子洲岳麓山/潮宗街商区/法式轻奢,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥368,5.0,181,长沙
【大隐】正五一广场|双地铁口|IFS国金|岳麓山橘子洲|轻奢多居室|高层城景｜巨幕投影｜安全门禁,整套2室 · 3床 · 可住6人,五一广场/贺龙,¥336,4.9,1450,长沙
【米格公寓】温馨暖黄大床房/可长短租/免费接送/黄花机场/百联奥特莱斯,整套1室 · 1床 · 可住2人,距黄花机场直线926米 长沙县,¥120,4.8,3998,长沙
近国金街、五一广场、火车站毕业季学生退伍军人特惠三十五起特惠,独立二间3室 · 2床 · 可住2~3人,长沙火车站,¥75,4.9,1679,长沙
正旺民宿～单人房（人民医院斜对面 近五一广场，高性价比/近ifs国金中心/定王台书店/近解放西/近地铁口,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥66,4.6,384,长沙
谷雨2-火车站万家丽广场地铁口，五一广场附近交通便利简约日系巨幕投影,整套2室 · 2床 · 可住4人,距五一广场直线5公里 芙蓉区,¥258,4.9,1474,长沙
【冬己·100寸幕布投影仪·乳胶床垫】正地铁口 近长沙高铁南站 火车站 机场 长株潭城轨树木岭站D出口 近市中心,整套1室 · 1床 · 可住2~3人,距五一广场直线5.9公里 雨花区,¥238,4.8,7550,长沙
【欢悦·sunshine】超大投影|大落地窗|乐和城|五一广场|高层城景|地铁口|中山亭|茶颜悦色|一盏灯|超级文和友|,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥370,5.0,110,长沙
【栖迟舍-灵犀】loft双床、五一广场芙蓉广场、解放西步行街、九龙仓国金中心、loft现代公寓巨幕投屏,整套1室 · 2床 · 可住4人,距五一广场直线1.3公里 芙蓉区,¥238,4.9,540,长沙
【湘居一栖】城市观光实惠大床房 近地铁站 五一商圈 摩天轮,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥158,5.0,64,长沙
年月的窝.「偷闲」 麻将投影 日式原木 五一广场正地铁口（近IFS坡子街太平街解放西笨萝卜光脑壳）两房可住四人,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥372.5,5.0,60,长沙
鹿野式和风｜九龙仓｜五一广场｜步行街太平街,整套1室 · 1床 · 可住2人,距五一广场直线284米 芙蓉区,¥178,4.8,8371,长沙
6号线地铁口【五一广场/贺龙】【湘雅附二】国金中心/坡子街/火车站/锦泰广场/岳麓山/橘子洲头风景区地铁全城到达可长租。,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥196,5.0,133,长沙
【西西里·燕麦可可】五一广场双地铁口/国金ifs/太平老街/坡子街/高层江景房/奶油诧寂风,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥480,5.0,53,长沙
【小熊家】近步行街，化龙池，火宫殿，九龙仓等商业中心和景点，周边有文和友老长沙龙虾馆，董记老清泉火锅，海底捞，木屋烧烤,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥188,4.6,256,长沙
[新房特惠]初见 轻奢大床房/德思勤广场/复地星光天地/女子学院/红星美凯龙/异域风,整套1室 · 1床 · 可住2人,德思勤城市广场,¥198,3.9,8,长沙
五一广场｜ifs国金中心｜落地窗｜地铁口,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥248,5.0,15,长沙
【慢止·初见】近会展中心 高铁南丨地铁口 大屏投影丨商业发达交通便利,整套1室 · 1床 · 可住2~3人,长沙南站,¥170,5.0,37,长沙
【菲乐民宿】五一商圈步行可达/IFS国金中心/地铁口/高清投影/2米圆床/落地窗市景/可住4人,整套2室 · 2床 · 可住4~5人,五一广场/贺龙,¥318,5.0,73,长沙
近岳麓山南大门/近地铁四号线/近湖南大学两条小吃街/湖南大学内环境安静/空气好,整套2室 · 2床 · 可住4人,岳麓山大学城,¥270,5.0,225,长沙
轨迹 正五一广场地铁口国金中心IFS旁巨幕投影1.8米情侣大床房,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥258,5.0,633,长沙
THE ALL/北欧设计/拾壹·五一商圈·2床可住4位·博物·馆烈士公园·LOFT公寓·自助入住·楼下地铁站,整套2室 · 2床 · 可住4人,北辰/中南大学湘雅医院,¥479,5.0,573,长沙
＇优尚.巢之恋＇/市中心高层可看江/双床可睡4人/地铁口50米/五一广场坡子街太平街国金中心/橘子洲岳麓山/潮宗商业街区,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥368,5.0,109,长沙
【清予】‖小清新ins风两室‖五一广场+近地铁口‖极米超清大投影‖可住4人,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥268,4.8,489,长沙
【青柚·小屋】合住/独立卧室/有电脑/小区环境舒适,独立一间3室 · 1床 · 可住2人,雨花亭/东塘,¥88,5.0,196,长沙
火车站/五一广场/万家丽/三百米地铁65平大落地窗大空间大屏影视带厨房,整套1室 · 2床 · 可住2~4人,长沙火车站,¥268,4.8,1295,长沙
精装公寓/喜盈门商业广场/圭塘河风光带/5号线地铁口/高铁火车南站,整套1室 · 1床 · 可住2人,喜盈门范城,¥236,5.0,287,长沙
＇尚美.罗浮假日＇/市中心高层双床可睡4人/地铁口50米/五一广场坡子街太平街国金中心解放西/橘子洲岳麓山/潮宗商业街区,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥368,5.0,52,长沙
独享整套房源·1室2床 黄兴路步行街/五一广场/南门口/坡子街/太平街/国金中心/地铁口/省人民医院,整套1室 · 2床 · 可住2~3人,五一广场/贺龙,¥269,5.0,156,长沙
侘寂风/大床房/五一广场城市核心商圈/地铁口/ifs国金中心/老九门之浏阳门/近太平街解放西/投影房/拍照场景,整套1室 · 2床 · 可住4~5人,五一广场/贺龙,¥278,4.7,51,长沙
已消毒【有梦·柒月】2号线地铁口/橘子洲岳麓山坡子街/茶颜悦色/大床投影房,整套1室 · 1床 · 可住2~3人,北辰/中南大学湘雅医院,¥252,5.0,393,长沙
「时空旅人·月租优惠」湘雅医院/妇幼保健院/近博物馆/烈士公园/时尚loft/自助入住/巨幕投影/暂无网络,整套2室 · 2床 · 可住4人,北辰/中南大学湘雅医院,¥376,4.8,4492,长沙
