标题,类型,地点,价格,评分,收藏数,地区
火车站 地铁口  二居室三床四人，麻将机 影院房,整套2室 · 3床 · 可住4人,距五一广场直线3公里 芙蓉区,¥238,4.7,238,长沙
【本色】loft复式/五一广场/地铁口/投影仪/大床房,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥366,4.7,74,长沙
【挚诚】梅溪湖高层湖景、麻将房两卫、楼下正地铁口、茶颜、文化艺术中心、五一广场IFS、橘子洲、岳麓山,整套2室 · 2床 · 可住4~5人,梅溪湖/洋湖风景区,¥438,5.0,1640,长沙
灰色空间大床房,整套1室 · 1床 · 可住2~4人,五一广场/贺龙,¥248,4.7,216,长沙
已消毒|【眠库·邂逅Morocco】五一广场·国金中心IFS·超级文和友·绿化小区·超好出片·正地铁口·免费寄存,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥326,4.8,60,长沙
【希语·酷潮】五一广场/ifs国金中心/黄兴路步行街/茶颜悦色/橘子洲/岳麓山/芙蓉广场地铁口/复式loft麻将房,整套5室 · 6床 · 可住12人,五一广场/贺龙,¥968,4.8,224,长沙
近太平街/橘子洲/岳麓山/坡子街/IFS步行街 多库存同类房型随机安排   如日期被预定可点头像进去主页看其他房源,整套1室 · 1床 · 可住2~3人,距五一广场直线778米 天心区,¥189,4.8,982,长沙
【花遇和风 沐风】巨幕投影 浴缸 拍照 德思勤商场 美食街 超大空间 落地窗 茶颜悦色  免费停车/地铁公交/共享电动车,整套1室 · 1床 · 可住2~3人,距长沙南站直线6.7公里 雨花区,¥339,5.0,1365,长沙
「热线民宿B1」五一广场/烟花民宿/超级文和友/IFS国金/坡子街/杜甫江阁/高清巨幕投影/免费寄存行李/地铁口,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥200,4.7,312,长沙
【一唯·君】五一广场/地铁口/橘子洲头/IFS国金中心/黄兴步行街/高层江景房/24h保安/双床房/闺蜜出行/出片侘寂风,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥398,5.0,22,长沙
五一广场/步行街/太平街/橘子洲/文和友/海信广场/坡子街/机场/岳麓山/贾谊故居/杜甫江阁/火车站、高铁站直达,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥318,4.7,537,长沙
已消毒！【喔蜗民宿】日式简约100寸投影大床房，简约风格，近步行街，太平街，橘子洲,整套1室 · 1床 · 可住2人,距五一广场直线276米 芙蓉区,¥198,4.9,2110,长沙
美宿系列/小清新双床房/可月租/高铁南站/国际会展中心,整套1室 · 2床 · 可住3人,距长沙南站直线1.3公里 雨花区,¥183,4.6,1188,长沙
月租2800【千岛安】五一广场|解放西|IFS|太平街|坡子街|橘子洲/岳麓山/地铁口/超大沙发/可做饭温馨一居,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥257,5.0,112,长沙
【安白.云慕城市民宿】投影仪双床房/步行黄兴广场五分钟/五一广场/IFS国金/岳麓山打卡拍照/橘子洲,整套2室 · 2床 · 可住3人,五一广场/贺龙,¥238,5.0,87,长沙
梅溪湖【浮乐】集中供冷暖/湖景/巨屏投影/地铁口/精装loft/岳麓山/艺术中心（随机房源分配）,整套2室 · 2床 · 可住4人,梅溪湖/洋湖风景区,¥399,5.0,25,长沙
【安浅】复式loft/落地窗/地铁口/南门口/冬瓜山/贺龙/东塘/五一广场/橘子洲/岳麓山/文和友/理工大学/大床房,整套1室 · 1床 · 可住2人,雨花亭/东塘,¥228,5.0,121,长沙
投影房 24小时热水 包网络 地铁口 可月租,整套1室 · 1床 · 可住2人,岳麓山大学城,¥108,4.3,622,长沙
Yisù【精萃澳瑞白】五一广场/双床/五一商圈/巨幕投影/太平街/坡子街/茶颜悦色,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥500,5.0,133,长沙
悦长沙民宿/五一广场/国金中心/解放西/坡子街/太平老街/橘子洲/黄兴广场/湘江,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥320,5.0,53,长沙
【梧桐落民宿｜茶底世界】｜巨幕投影｜国金街 | 五一广场 ｜黄兴广场｜解放西｜可住4人｜近地铁400米 |,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥220,5.0,63,长沙
【徒然草】中式风双床房可住四人/近五一广场/潮宗街/培元桥/橘子洲头/岳麓山/国金中心/ifs解放西/管家式服务/茶颜,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥298,5.0,76,长沙
十壹民宿｜飘渺之旅/巨屏投影/交通便捷/地铁站500米/国金中心/五一广场,整套2室 · 3床 · 可住6人,五一广场/贺龙,¥314,4.5,165,长沙
【严格消毒】星悦居【须 香薷】极米投影/高铁站包接送/楼下地铁口/地铁直达五一广场，橘子洲景区/带冰箱洗衣机,整套1室 · 1床 · 可住2人,距长沙南站直线1公里 雨花区,¥280,5.0,459,长沙
【欢悦·恋歌】超大投影|大落地窗|乐和城|五一广场|高层城景|地铁口|中山亭|茶颜悦色|一盏灯|超级文和友|厕所干湿分离,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥280,5.0,80,长沙
机场大众工业园投影房,整套1室 · 1床 · 可住2人,黄花机场/黄花镇,¥118,5.0,472,长沙
【A+阳光公寓】时尚大床房 长沙火车站地铁口附近 飘窗大床，风景优美 免费接送……,整套1室 · 1床 · 可住2人,长沙火车站,¥138,5.0,130,长沙
医用紫外线消毒设备/五一广场/U-house/Ifs国金中心/步行街/文和友/大投影/大床房/三号地铁线/茶颜悦色/,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥193,5.0,2534,长沙
[野望·疚梦] 五一广场/IFS/太平老街/地铁口/巨幕投影/超大浴缸 舒适大床房,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥270,4.9,905,长沙
! 五一广场大床房 | 兰芝 | 楼下是解放西路酒吧街 | IFS国金中心 | 太平街、步行街、茶颜悦色、中长租更优惠,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥188,5.0,142,长沙
一线江景房/湘江中路正地铁口/步行到坡子街/解放西路/异国风情/100寸大投影/五一广场/IFS国金中心/太平街,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥258,4.3,187,长沙
【OW桔子周·古屋手札】独栋民宿｜百项服务｜浴缸｜免费撸猫｜免费自助洗衣服务｜近岳麓山｜近后湖｜美食一条街｜姹寂,独立一间1室 · 1床 · 可住2人,岳麓山大学城,¥360,4.9,354,长沙
可月租【落跑甜心】五一广场地铁口/IFS国金中心/解放西/坡子街/清新4人间,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥285,4.8,166,长沙
多房型.屿岛.沉浸洞穴风.浴缸.五一广场.地铁口.双床可住四人.巨幕投影.长沙拍照榜,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥369,5.0,114,长沙
【梧桐落民宿｜溪谷巷】｜潮宗街｜国金街 | 五一广场 | 高空城景｜可住4人｜近地铁350米 |,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥300,5.0,59,长沙
北欧ins投影/Loft复式/地铁口/世界之窗/月湖公园/广电/马栏山/四方坪美食/海底世界/长沙大学/,整套1室 · 1床 · 可住2人,世界之窗,¥298,4.9,461,长沙
『阳光假日』北欧风江景双床房/五一广场/IFS国金中心/坡子街/太平街橘子洲/岳麓山/文和友/茶颜悦色/小红书推荐,整套1室 · 2床 · 可住2~5人,距五一广场直线730米 天心区,¥328,4.9,1243,长沙
【北固】 「留白」丨两室一厅IMAX巨幕丨五一广场地铁口丨五一广场、黄兴广场丨直达橘子洲、岳麓山,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥800,5.0,582,长沙
【芷有一间】五一广场投影房，地铁口/五一广场/九龙仓国金中心IFS/步行街/坡子街/省人民医院,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥368,4.8,988,长沙
『沐城·首尔甜茶』五一广场/治愈韩系风/双1.5m宽床65平大空间/3分钟地标IFS夜景和步行街/10分钟打卡所有网红点,整套1室 · 2床 · 可住2~4人,五一广场/贺龙,¥349,4.7,578,长沙
（回家）2806五一广场，步行街，橘子洲头，岳麓山，解放西，IFS，太平街各大网红打卡集中点,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥258,5.0,274,长沙
医用紫外线消毒设备/五一广场/U-house/Ifs国金中心/步行街/文和友/三号地铁线/中央空调/中医付一/大投影,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥193,5.0,169,长沙
【希语·漫游云】五一广场复式Loft/岳麓山/五房七床三卫/可住十四人大户型/黄兴广场/国金Ifs/橘子,整套5室 · 7床 · 可住14人,五一广场/贺龙,¥1188,5.0,84,长沙
『沐城·布拉格的森林』五一广场地标IFS旁65平大空间｜复古轻奢/巨幕投影/步行街地铁步行4分钟/10分钟打卡所有网红点,整套1室 · 1床 · 可住2~3人,五一广场/贺龙,¥333,5.0,84,长沙
古街木屋大床房 黄兴路步行街/五一广场/南门口/坡子街/太平街/国金中心/地铁口/省人民医院,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥209,4.6,66,长沙
木浔与森/五一广场/太平老街/坡子街/江景房,整套2室 · 2床 · 可住5人,五一广场/贺龙,¥299,5.0,75,长沙
苏西-少年游/五一广场/芙蓉广场地铁口/近IFS国金中心/坡子街/潮宗街/解放西/麻将机/巨幕投影/5房6床可住12人,整套5室 · 6床 · 可住12人,五一广场/贺龙,¥908,5.0,100,长沙
古街民房/近国金/黄兴广场/都正街/盟重烧烤/五一广场交通方便/544的,整套1室 · 1床 · 可住2~3人,五一广场/贺龙,¥158,4.7,426,长沙
【沐宿】五一广场留白影院房近芙蓉广场地铁1出口、国金中心、步行街、坡子街,整套1室 · 1床 · 可住2人,距五一广场直线757米 芙蓉区,¥218,5.0,1229,长沙
【初日】五一广场/地铁站步行3分钟/公寓楼/落地窗/大床房/黄兴广场/太平街/投影设备,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥426,5.0,62,长沙
【ONE-Home 柚凉】loft复式/五一广场/地铁口/投影仪/双床房可住四人/新小区,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥328,5.0,102,长沙
【大小巷驿站】五一广场/国金中心/黄兴广场/太平街/天心阁/落地窗/全屋智能/巨幕投影/大床房,整套1室 · 1床 · 可住2~3人,五一广场/贺龙,¥238,4.8,11,长沙
﻿欣福圆主题客栈 特惠房2（近IFS.五一广场.步行街.解放西.万达橘子洲.文和友）,整套1室 · 1床 · 可住2人,距五一广场直线419米 天心区,¥158,4.7,493,长沙
已消毒！【喔蜗民宿】日系原木风投影大屏五一广场5号地铁口 IFS国金中心 近解放西路 黄兴广场 太平街 橘子洲 岳麓山,整套1室 · 1床 · 可住2人,距五一广场直线284米 芙蓉区,¥198,4.9,2825,长沙
复古巨幕投影房可住六人/近五一广场中山亭/潮宗街/培元桥/北正街/国金中心IFS/解放西/黄兴步行街/茶颜悦色,整套3室 · 3床 · 可住6人,五一广场/贺龙,¥358,5.0,149,长沙
长沙牛町《樱花芸阁》全新装修，3室一卫5床，电影麻将房，五一广场地铁站，坡子美食街，太平老街，国金中心，橘子洲，岳麓山！,整套3室 · 5床 · 可住9人,五一广场/贺龙,¥699,5.0,490,长沙
【野肆】ifs旁/五一广场/黄兴广场/步行街/一盏灯/落地窗景观正对春天百货打卡点/投影仪/泡泡池,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥249,5.0,63,长沙
悦步归宿/位于市中心 楼下坡子街  酒吧一条街  对面太平街,整套2室 · 3床 · 可住6~7人,五一广场/贺龙,¥358,4.7,105,长沙
梅溪湖【悦澜溪涧】临湖豪华loft复式三室/楼下地铁口/梅溪湖商圈/岳麓山/橘子洲/五一广场/坡子街/亲子房,整套3室 · 4床 · 可住6~8人,梅溪湖/洋湖风景区,¥508,5.0,265,长沙
长沙东塘中心城区/繁华CBD/近地铁/贺龙体育馆/雅礼本部/交通方便/家电齐全/安静整洁,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥235,5.0,33,长沙
【悦步归宿•岚雅】泊富广场／五一广场IFS/烈士公园/湘雅医院／四室两卫可做饭可短租长租,整套4室 · 4床 · 可住8人,北辰/中南大学湘雅医院,¥548,5.0,108,长沙
【栖悦-沐风大床房】近五一广场地铁站/国金中心IFS/坡子街/黄兴步行街/岳麓山/橘子洲/太平街/已消毒,整套1室 · 1床 · 可住2人,距五一广场直线427米 芙蓉区,¥184,4.7,7625,长沙
【云起时】江景/五一广场/ 太平街/ ifs国金中心/巨幕投影/,整套1室 · 1床 · 可住2~3人,距五一广场直线349米 开福区,¥233,5.0,1454,长沙
【拾八｜朝青暮雪】｜巨幕投影｜国金街 | 五一广场 | 高空城景｜可住8人｜近地铁400米 |,整套2室 · 4床 · 可住6人,五一广场/贺龙,¥399,5.0,122,长沙
友居【FRIENDLY STAY青禾3F】全屋智能|毗邻IFS国金中心|五一广场|橘子洲头,整套1室 · 1床 · 可住2人,距五一广场直线997米 芙蓉区,¥239,5.0,205,长沙
已消毒！【喔蜗民宿】五一广场地铁口超大屏投影房IFS国金中心,整套1室 · 1床 · 可住2人,距五一广场直线284米 芙蓉区,¥198,4.9,1997,长沙
近国金中心,整套2室 · 2床 · 可住4~5人,五一广场/贺龙,¥238,5.0,36,长沙
【佳颖民宿】五一广场素颜倾城房、靠近太平街、解放西路、IFS国金中心\离五一广场地铁口100米 长租更优惠,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥168,4.6,603,长沙
三顾• 南熏 江景房/五一广场/正地铁口100米/直达橘子洲岳麓山/近ifs/太平老街/坡子街/大客厅/可住8人,整套3室 · 4床 · 可住8人,五一广场/贺龙,¥598,5.0,34,长沙
光屿－南门口三床投影loft/南门口地铁站/黄兴广场/五一广场/老长沙步梯房3楼,整套2室 · 3床 · 可住5人,五一广场/贺龙,¥308,4.9,1660,长沙
［野望·秋水］五一广场/IFS/太平老街/地铁口/高清巨幕投影（免费寄存行李）文艺舒适大床,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥327,5.0,219,长沙
【季夏】江景三居室/住6人/百寸投影五一广场地铁站/ifs国金中心/岳麓山/橘子洲/解放西/坡子街,整套3室 · 3床 · 可住6人,五一广场/贺龙,¥688,5.0,22,长沙
轻奢时光1.8米大床/100寸幕布高清投影/中央空调/近火车站/地铁3号6号线/近国金中心/五一广场,整套1室 · 1床 · 可住2人,长沙火车站,¥149,4.7,275,长沙
【芦野.套间】五一广场地铁站9米/楼下四个百货大楼/IFS国金中心/文和友/太平老街/投影新装修/北欧风,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥528,5.0,29,长沙
【仙度瑞拉】法式浪漫婚纱主题 五一广场,整套1室 · 1床 · 可住2~3人,距五一广场直线388米 开福区,¥233,4.9,3407,长沙
[微汀-夏桑]高层落地窗/可住4人/观夕阳星城/拍照打卡地/五一广场/乐和城/双地铁口/巨幕投影,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥360,5.0,395,长沙
【晴七·星瞳】五一广场·滑滑梯·太平老街·坡子街·步行街·IFS,整套1室 · 2床 · 可住3人,五一广场/贺龙,¥373,5.0,21,长沙
牛町《樱花江阁》可轰趴聚会/投影房/麻将房/浴缸房/点击烟花头像有50套风格，超级市中心，太平老街，IFS国金，岳麓山！,整套3室 · 5床 · 可住9人,距五一广场直线427米 天心区,¥554,4.7,4719,长沙
听城•暮色/五一广场/lFS九龙仓城市地标/双地铁口/太平街、坡子街/浴缸、巨幕投影/侘寂风舒适大床房,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥340,4.4,468,长沙
【OW桔子周•枫丹白露】湖景loft/大浴缸/超大落地窗赏月湖美景/巨幕投影/近广电.会展中心.世界之窗./双地铁,整套1室 · 1床 · 可住2人,世界之窗,¥425,5.0,1235,长沙
【沐宿】五一广场复古影院房近芙蓉广场地铁1出口、步行街,整套1室 · 1床 · 可住2人,距五一广场直线755米 芙蓉区,¥218,4.9,1670,长沙
【星宿·星羽】五一广场/IFS国金中心/坡子街/太平老街/日式投影房,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥198,4.3,306,长沙
梧桐【智能声控·影院大床】近五一广场地铁口/ifs国金中心/楼下就是解放西/橘子洲/岳麓山/太平街/已消毒安心住多套随机,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥358,5.0,458,长沙
IFS国金中心【遇见·巨幕影院双床房】超大落地飘窗｜五一广场地铁口｜太平街坡子街超级文和友/橘子洲/管家服务｜自助入住,整套1室 · 2床 · 可住4~5人,五一广场/贺龙,¥588,4.9,848,长沙
【一唯·梦】五一广场双地铁口｜IFS国金中心｜太平老街｜坡子街｜橘子洲头｜茶颜悦色｜侘寂风｜解放西｜24h门禁安保,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥398,5.0,52,长沙
Yisù【molly的冬日】五一广场/大床房/五一商圈/巨幕投影/太平街/坡子街/茶颜悦色,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥239,4.6,131,长沙
【悠家 尘空】五一广场/橘子洲/国金中心/可观市景/观景阳台/落地窗/市中心近地铁/近各景点/ins精装二居室,整套2室 · 3床 · 可住5人,五一广场/贺龙,¥368,5.0,85,长沙
房间已经消毒可以安心入住}近坡子街/太平老街大床漂窗江景烟花房。,整套1室 · 2床 · 可住4~5人,距五一广场直线732米 天心区,¥188,4.6,63,长沙
【长沙瘾宿·亦海】五一广场/坡子街/黄兴路步行街/IFS/橘子洲/岳麓山/太平街/解放西/海信广场/五一广场直达/已消毒,整套4室 · 4床 · 可住8人,五一广场/贺龙,¥927,5.0,20,长沙
【ONE-Home 海棠】五一广场/地铁口/投影仪/三床房可住六人,整套3室 · 3床 · 可住6~7人,五一广场/贺龙,¥588,4.7,27,长沙
【漫玖】留恋风投影房，近芙蓉广场，五一广场，步行街,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥238,5.0,32,长沙
（温馨情侣房）近五一广场/步行街/坡子街/太平老街/IFS国金中心旁边胡桃里音乐酒馆 楼上，免费洗衣服,独立一间1室 · 1床 · 可住2人,距五一广场直线460米 芙蓉区,¥150,4.9,6597,长沙
『行舍·青朴 』五一商圈/地铁口/巨幕投影/IFS国金中心/太平街，近岳麓山、橘子洲景点,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥232,5.0,345,长沙
二室欢聚投影房可住4人 五一广场 · 太平街 · 坡子街 · 国金街 · 步行街 湘江江景 可长租,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥250,4.7,825,长沙
已消毒！【超大屏电影房】五一广场地铁口/黄兴广场/国金中心IFS/黄兴步行街/橘子洲/太平街/坡子街/喔蜗民宿,整套1室 · 1床 · 可住2人,距五一广场直线276米 芙蓉区,¥185,4.8,2283,长沙
新房特惠【好梦智造】自习大床房、大学城民宿、近体育学院&中南大学、适合考研学习 现场面积为准,整套1室 · 1床 · 可住2人,岳麓山大学城,¥98,4.6,393,长沙
【陆月民宿】五一广场/橘子洲/贺龙店/投影/高铁南站/ 芙蓉广场/ 茶颜悦色//简约时尚大床房！,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥180,4.7,74,长沙
『阳光假日』北欧风江景投影大床房/五一广场/IFS国金中心/近地铁1.2号线/橘子洲/岳麓山/文和友/茶颜悦色,整套1室 · 2床 · 可住2~3人,五一广场/贺龙,¥289,5.0,663,长沙
《惜缘》北欧风格全新装修/五一商圈/地铁口/巨幕投影/坡子街/太平街/中山亭/ifs国金中心,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥268,4.7,553,长沙
【微汀-黑色幽默】LOFT双床/五一广场/高层落地窗/双地铁口/国金中心/巨幕投影/橘子洲,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥360,5.0,157,长沙
【ONE-Home 纯真】loft复式/五一广场/地铁口/投影仪/双床房可住四人/新小区,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥288,5.0,101,长沙
市中心【海盐日记loft公寓】三张大床、临地铁口、五一商圈、国金中心、湘雅附二、火车站、橘子洲旁可居住6人,整套2室 · 3床 · 可住6人,五一广场/贺龙,¥309,5.0,200,长沙
【悦步归宿 黎明前 】五一广场/超级文和友/国金中心/岳麓山/橘子洲/壹盏灯/省博物馆/三房投影/贺龙体育馆/可月租,整套3室 · 3床 · 可住6人,五一广场/贺龙,¥458,5.0,136,长沙
Julihouse【白日梦蓝】五一广场/地铁口/巨幕投影/可住4位/巨幕投影/高层风景/IFS国金/简约风,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥360,5.0,1303,长沙
【奢漫·日式大床套房】近高铁南站·会展中心·地铁口·全网VIP100寸巨幕观影·乳胶床垫·洗衣机,整套1室 · 1床 · 可住2人,距长沙南站直线696米 雨花区,¥282,4.9,997,长沙
【芦野.绿】五一广场地铁囗9米/北欧风可住3-6位/家庭出游/国金中心/步行街/太平老街/投影新装修/可长租短租,整套1室 · 3床 · 可住6人,五一广场/贺龙,¥428,5.0,502,长沙
【OW桔子周•星辰大海】7.8李荣浩演唱会/140寸巨幕投影/近IFS五一广场/1米8浴缸/顶层一线风光/窗外摩天轮,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥469,5.0,1892,长沙
美宿系列/ 舒适双床房/可月租/高铁一公里/、每日消毒 安心住,整套1室 · 2床 · 可住3人,距长沙南站直线1.3公里 雨花区,¥183,4.6,1586,长沙
苏西-摘星辰/五一广场/芙蓉广场地铁口/IFS国金中心/潮宗街/黄兴广场/解放西/高层观景/3房3床可住6人,整套3室 · 3床 · 可住6人,五一广场/贺龙,¥508,5.0,51,长沙
【星宿·星觅】五一广场/IFS国金中心/黄兴广场/太平老街,整套1室 · 2床 · 可住4人,距五一广场直线285米 芙蓉区,¥228,4.5,1589,长沙
新房特惠【森暮】复式  4K高清投影/东盈广场/万家丽广场/火车站/2号线/扬帆夜市/马王堆/五一广场/太平街/可短租,整套1室 · 1床 · 可住2~4人,万家丽,¥297,5.0,12,长沙
【花知】近公交/湘雅附二医院正对面/天心阁公园、长沙市步行街/橘子洲景区/天心阁/湖南省博物馆,整套1室 · 1床 · 可住3人,五一广场/贺龙,¥666,4.6,678,长沙
【已消毒/翼色】电动麻将/五一广场/下楼即是黄兴路步行街/地铁口/坡子街/太平街/解放西/IFS国金中心/化龙池,整套1室 · 1床 · 可住2人,距五一广场直线1.1公里 天心区,¥248,4.7,688,长沙
[清欢·人间戏]黄兴广场地铁站200米｜巨幕投影｜IFS五一广场黄兴广场步行街,整套1室 · 1床 · 可住2~3人,五一广场/贺龙,¥199,4.4,1361,长沙
五一广场太平街坡子街解放西路180度江景高端民宿【懒人.瑜舍】三,整套1室 · 1床 · 可住2人,距五一广场直线753米 天心区,¥198,4.9,838,长沙
【晚秋&可长租/短租/月租优惠】北欧风格五一广场市中心/近地铁/舒适三床房/可住6人/可做饭,整套3室 · 3床 · 可住6人,五一广场/贺龙,¥420,4.8,996,长沙
晨曦花园.落地窗 绿植阳光房/高清投影/近IFS国金中心/五一广场/贺龙/万达广场/长沙火车站/黄兴路步行街/大学城,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥269,5.0,96,长沙
【云木居•栖遇】IFS国金中心/五一广场步行街/太平街/坡子街/bobo国际,整套1室 · 3床 · 可住6人,五一广场/贺龙,¥368,5.0,25,长沙
【慢止·溪湖畔】聚会观影招待不二选择丨地铁直达高铁五一广场橘子洲等景区丨超大投影丨可做饭,整套3室 · 3床 · 可住5人,梅溪湖/洋湖风景区,¥406,5.0,51,长沙
【邂逅Home】超大落地窗超清投影双床房，五一广场双地铁，近国金中心ifs、太平街、坡子街、黄兴广场、解放西酒吧一条街等,整套1室 · 2床 · 可住4~5人,五一广场/贺龙,¥459,5.0,558,长沙
【爱豆之家】世界之窗/湖南广电芒果TV/四方坪夜市/双地铁口/巨幕投影/会展中心海底/恒大雅苑/马栏山文创园/长沙大学,整套3室 · 3床 · 可住6~7人,距世界之窗直线1.1公里 开福区,¥398,5.0,107,长沙
【拾八｜霜花店】｜巨幕投影｜国金街 | 五一广场 | 高空城景｜可住6人｜近地铁400米,整套2室 · 4床 · 可住8人,五一广场/贺龙,¥499,5.0,206,长沙
【商务双床房】近湖南大学地铁站/湖大校园/步行到岳麓山/岳麓书院/直达高铁南站/近五一广场/橘子洲/国金中心/坡子街,整套1室 · 2床 · 可住4~6人,岳麓山大学城,¥246,5.0,221,长沙
【ONE-Home 盛夏】loft复式/五一广场/地铁口/投影仪/双床房可住四人/新小区,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥588,5.0,115,长沙
可月租【洛丽塔与蒂安娜】五一广场/黄兴广场地铁口/步行街/国金IFS/太平街/岳麓山/INS风两居,整套2室 · 2床 · 可住4~6人,五一广场/贺龙,¥361,4.8,1209,长沙
三床豪华江景房,整套1室 · 3床 · 可住6~8人,五一广场/贺龙,¥228,3.6,29,长沙
大财门公寓，湘雅二医院正对面步行3分钟即到，，五一广场2公里，火车站3公里，窑岭湘雅二医院站150米，带厨房可做饭。,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥248,4.7,637,长沙
【悦步归宿•舍】已消毒/五一广场步行街解放西天心阁/ifs/太平街/岳麓山橘子洲/坡子街/王府井乐和城可做饭可短租可长租,整套2室 · 2床 · 可住4人,距五一广场直线233米 芙蓉区,¥298,5.0,588,长沙
黑店&长月｜心灵住过的地方｜高层城景+可住4人（加床）+高清投影+打卡必备｜五一广场｜地铁100M,整套1室 · 1床 · 可住2~4人,五一广场/贺龙,¥248,4.9,553,长沙
『沐城·东京和初雪』五一广场｜65平地标IFS旁双床公寓｜日系宅寂风｜巨幕投影｜步行街地铁5分钟｜10分钟打卡所有网红点,整套1室 · 2床 · 可住2~4人,五一广场/贺龙,¥349,5.0,379,长沙
【碧桂园·稻田理想】超清大屏影院&麻将套房&智能影音/万家丽高桥杨帆夜市/三条地铁线,整套1室 · 2床 · 可住3~4人,万家丽,¥218,4.7,53,长沙
五一广场/IFS国金中心/太平街/坡子街/橘子洲风景区/岳麓山/双地铁口【桃禧•初音】巨幕投影大床房,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥268,5.0,70,长沙
【栖悦-听枫特惠房】近五一广场地铁站/国金中心IFS/坡子街/黄兴步行街/岳麓山/橘子洲/太平街/已消毒,整套1室 · 1床 · 可住2人,距五一广场直线427米 芙蓉区,¥184,4.4,1277,长沙
【玖伍贰柒•吾爱】五一广场/黄兴步行街/国金中心/芙蓉广场地铁口/网红打卡三居室/橘子洲/太平街/婚纱主题,整套3室 · 3床 · 可住6人,距五一广场直线612米 芙蓉区,¥498,4.8,493,长沙
下江南民宿/新店开业/24小时便利店送上楼/近IFS五一广场/市中心高层LOFT/近地铁100寸高清投影可投屏/全新家具,整套2室 · 2床 · 可住4~5人,五一广场/贺龙,¥248,5.0,47,长沙
【拾八｜染柳烟浓】｜巨幕投影｜国金街 | 五一广场 | 高空城景｜可住8人｜近地铁400米 |,整套1室 · 4床 · 可住8人,五一广场/贺龙,¥399,5.0,85,长沙
烟花高层江景 五一广场 市中心 橘子洲头 免费一次性用品 连续定三晚提供免费接送机服务,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥437,5.0,41,长沙
月租5668，美乐居，复线地铁口，南门口美食街，贺龙体肓馆，大剧院，大榻榻米，高清大投影，景观房。,整套2室 · 3床 · 可住6人,五一广场/贺龙,¥298,4.8,211,长沙
【达美寰宇公馆·赏湖】梅溪湖复式loft/新风制冷/高铁站地铁2号线到楼下/正地铁口/直达五一广场国金中心橘子洲/可做饭,整套2室 · 2床 · 可住4~6人,梅溪湖/洋湖风景区,¥400,5.0,39,长沙
橘子洲绝美江景*湘江美*麻将房（五一广场，贺龙广场，橘子洲毛主席雕像，岳麓山湘江水水橘子洲江景）,整套1室 · 1床 · 可住2~3人,五一广场/贺龙,¥268,5.0,20,长沙
【久桐-晨光】高层落地窗/仙气露台/可住6人/五一广场/双地铁口/巨幕投影/乐和城,整套1室 · 3床 · 可住6人,五一广场/贺龙,¥850,5.0,415,长沙
